Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/wheelbarrow/19587.png,wheelbarrow,a continuous line drawing of a cow,a single line drawing of a cow with a bag on its back,it's a cow,"from a zoo, aquarium, or zoo","kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/wheelbarrow/19521.png,wheelbarrow,a line drawing of a dog,the drawing is a one-line drawing of a dog pulling a cart,it's a dog,from a pet store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/wheelbarrow/19522.png,wheelbarrow,wheelbarrow,there is a wheel on the side of the wagon,a wheelbarrow,from a thrift store,"in a stroller, in a stroller, in a stroller, in a stroller, in a stroller,"
/content/Dataset_simple_sketch/test/wheelbarrow/19542.png,wheelbarrow,wheelbarrow,the wheelbarrow has wheels and a handle,wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow,wheelbarrow,"wheelbarrows can be found in a garden, on a farm, in a garden shed, in a garage, in "
/content/Dataset_simple_sketch/test/wheelbarrow/19539.png,wheelbarrow,a line drawing of a teddy bear in the shape of a teddy bear,a single line drawing of a teddy bear,it is a line drawing of a teddy bear,from a store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/wheelbarrow/19526.png,wheelbarrow,wheelbarrow,a single line drawing of a wheelbarrow,wheelbarrow,a wheelbarrow,"wheelbarrows can be found in a garden, on a farm, in a garage, on a farm, in a"
/content/Dataset_simple_sketch/test/wheelbarrow/19588.png,wheelbarrow,a line drawing of a wheelbarrow,the image is a line drawing of a wheelbarrow,a wheelbarrow,from a hardware store,"lawn mowers, lawn mowers, lawn mowers, lawn mowers, lawn mowers, lawn mowers, lawn mowers, lawn mower"
/content/Dataset_simple_sketch/test/wheelbarrow/19540.png,wheelbarrow,a wheelbarrow,a single line drawing of a wheelbarrow on a white background,a wheelbarrow,it is a wheelbarrow,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, kitchen, bathroom, bedroom, living room, bedroom, kitchen,"
/content/Dataset_simple_sketch/test/wheelbarrow/19595.png,wheelbarrow,the shape of the item is a circle,"there is a slit in the middle of the circle, and a slit in the middle of the circle",it is a spherical object with a spherical axis,it is usually obtained by slicing a potato in half and then slicing it in half and then slicing it,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/wheelbarrow/19555.png,wheelbarrow,wheelbarrow,the wheelbarrow has a handle on the front and a handle on the back of the wheelbarrow,wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow,a wheelbarrow,gardener's toolbox gardener's toolbox gardener's toolbox gardener's toolbox gardener's toolbox
/content/Dataset_simple_sketch/test/wheelbarrow/19547.png,wheelbarrow,a line drawing of a duck,the shape of the bird's head and the shape of the bird's body,it is a character in a story,from a zoo or aquarium,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/wheelbarrow/19537.png,wheelbarrow,a line drawing of a bicycle,the drawing is a simple line drawing of a bicycle,it is a bicycle,it is usually obtained as a gift from a friend or family member,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/wheelbarrow/19580.png,wheelbarrow,the shape of the item is oblong,a single line drawing of a bag with a handle,it is a toy,from a pet store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/wheelbarrow/19530.png,wheelbarrow,wheelbarrow,a wheelbarrow with a basket on it,wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow,a wheelbarrow,"in a garden, on a farm, on a farmstead, in a barn, on a farm, on a farm"
/content/Dataset_simple_sketch/test/wheelbarrow/19560.png,wheelbarrow,wheelbarrow,the wheelbarrow has a handle and a wheel,wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow,wheelbarrow,"garden, gardener, gardener, gardener, gardener, gardener, gardener, gardener, gardener, gardener, garden"
/content/Dataset_simple_sketch/test/wheelbarrow/19576.png,wheelbarrow,wheelbarrow,there is a wheel on the side of the wheelbarrow,wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow wheelbarrow,in the form of a wheelbarrow,"wheelbarrows can be found in a variety of places, such as in a garden, on a farm, or in a"
/content/Dataset_simple_sketch/test/megaphone/10169.png,megaphone,a line drawing of a megaphone,a line drawing of a megaphone on a white background,a loudspeaker,from a radio station,"radios, televisions, radios, radios, radios, radios, radios, radios, radios, radios,"
/content/Dataset_simple_sketch/test/megaphone/10171.png,megaphone,a line drawing of a megaphone,it is a single line drawing of a megaphone,a megaphone,it is a loudspeaker,"a tv, a radio, a radio station, a concert, a parade, a parade, a parade"
/content/Dataset_simple_sketch/test/megaphone/10198.png,megaphone,spherical,the shape of the hat is a spherical shape with a curved brim,it is a hat,from a manufacturer,"hats, hats, hats, hats, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/megaphone/10167.png,megaphone,a line drawing of a handgun,a line drawing of a magnifying glass,it is a hand held device,from a medical supply store,"kitchen, bathroom, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware"
/content/Dataset_simple_sketch/test/megaphone/10211.png,megaphone,line drawing of a megaphone,a line drawing of a megaphone on a white background,a loudspeaker,it is a loudspeaker,"in a classroom, at a concert, at a concert, at a concert, at a concert, at a concert,"
/content/Dataset_simple_sketch/test/megaphone/10190.png,megaphone,the shape of the item is spherical,the shape of the horn and the shape of the handle of the horn,a loudspeaker,"from a hornet's nest, or from a hornet's nest, or from a horne","kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/megaphone/10197.png,megaphone,a line drawing of a handgun,the shape of the handle and the shape of the handle,it is a tool,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/megaphone/10219.png,megaphone,the shape of the item is a line drawing of a megaphone,the shape of the handle of the megaphone,a megaphone,from a radio station,"in a classroom, on a stage, in a movie theater, on a stage, on a stage, on a stage"
/content/Dataset_simple_sketch/test/megaphone/10178.png,megaphone,a line drawing of a megaphone,a line drawing of a megaphone on a white background,a loudspeaker,a loudspeaker,"in a classroom, at a concert, at a concert, at a concert, at a concert, at a concert,"
/content/Dataset_simple_sketch/test/megaphone/10180.png,megaphone,spherical,the shape of the object is a spherical shape,a horn or hornet's nest,in the form of a styrofoam cup,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/megaphone/10213.png,megaphone,the shape of the item is a spherical shape,there is a slit in the middle of the sleeve and a hole in the middle of the slee,it is a syringe syringe syringe syringe syringe,from a veterinary surgeon,toilet paper holder
/content/Dataset_simple_sketch/test/megaphone/10214.png,megaphone,a line drawing of a megaphone,the shape of the handle of the megaphone,a loudspeaker,from a telecommunications company,"in a car, on a boat, in a classroom, in a classroom, in a classroom, in a classroom,"
/content/Dataset_simple_sketch/test/megaphone/10195.png,megaphone,line drawing of a megaphone,a line drawing of a megaphone,a loudspeaker,it is a loudspeaker,"in a classroom, at a concert, at a concert, at a concert, at a concert, at a concert,"
/content/Dataset_simple_sketch/test/megaphone/10237.png,megaphone,a line drawing of a megaphone,a line drawing of a megaphone,a loudspeaker,a loudspeaker,"in a classroom, at a concert, at a concert, at a concert, at a concert, at a concert,"
/content/Dataset_simple_sketch/test/megaphone/10184.png,megaphone,a line drawing of a megaphone,the shape of the handle of the megaphone,a loudspeaker,from a telecommunications company,"airplanes, trains, buses, trains, airplanes, trains, buses, trains, trains, airplanes, trains, buses, trains, trains"
/content/Dataset_simple_sketch/test/megaphone/10164.png,megaphone,the shape of the item is a triangle,the shape is a triangle with a flat top and a flat bottom,it is a line drawing of a triangle,in the form of a teddy bear,"in a sandbox, in a sandbox, in a sandbox, in a sand"
/content/Dataset_simple_sketch/test/bottle opener/2231.png,bottle opener,a line drawing of a utensil,the shape of the handle and the shape of the handle,a utensil or utensil utensil utensil utensil u,it is a tool that is used to open a door,"kitchen, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchen"
/content/Dataset_simple_sketch/test/bottle opener/2222.png,bottle opener,a single line drawing of a spatula on a white background,a single line drawing of a spatula,utensil or utensil utensil utensil utensil utens,from a hardware store,"kitchen, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchen"
/content/Dataset_simple_sketch/test/bottle opener/2170.png,bottle opener,the item is shaped like a bag,the shape of the bag is a rectangle,it is a container for a drink,from a hardware store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bottle opener/2177.png,bottle opener,the shape of the item is a line drawing on a white background,"the shape of the body is a spherical shape, and the shape of the head is a spherical shape",it is a line drawing of a fish,in the form of a teddy bear or a teddy bear teddy bear or teddy bear,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bottle opener/2179.png,bottle opener,a line drawing of a wrench,the shape of the handle and the shape of the handle,it is a tool,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, bathroom, kitchen, bathroom, kitchen, bathroom, kitchen, bathroom, kitchen, bathroom, kitchen"
/content/Dataset_simple_sketch/test/bottle opener/2202.png,bottle opener,hammer,the hammer is shaped like a hammer,hammer,from a hardware store,"carpenter's toolbox, carpenter's toolbox, carpenter's toolbox, carpenter's tool"
/content/Dataset_simple_sketch/test/bottle opener/2214.png,bottle opener,a line drawing of a hammer,the shape of the handle and the shape of the handle,a hammer,from a hardware store,"carpenter's shop, carpenter's workshop, carpenter's workshop, carpenter's workshop, carpen"
/content/Dataset_simple_sketch/test/bottle opener/2224.png,bottle opener,the shape of the item is a spherical shape,the shape of the ear and the shape of the ear lobe,it is a part of the human body,it is usually obtained from a person's genitals,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bottle opener/2212.png,bottle opener,a line drawing of a bottle opener,the shape of the handle of the bottle opener,a bottle opener,from a hardware store,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/bottle opener/2191.png,bottle opener,a line drawing of a hand holding a bottle,the outline of a person's head,key holder,from a hardware store,"car keys, key fobs, key fobs, key fobs, key fobs, key fobs, key fo"
/content/Dataset_simple_sketch/test/bottle opener/2182.png,bottle opener,oblong,the shape of the handle and the shape of the handle,a part of a vehicle,from a toyota dealer,"in a car, truck, or motorcycle"
/content/Dataset_simple_sketch/test/bottle opener/2221.png,bottle opener,a doodle of a wrench with the word open,the word open is written in black ink on a white background,a wrench,from a hardware store,"wrenches, pliers, screwdrivers, wrenches, screwdrivers, wrenches, screwdrivers"
/content/Dataset_simple_sketch/test/bottle opener/2227.png,bottle opener,a line drawing of a shape,the shape of the island is shaped like a triangle,is a map of a country,from a store,"on a map, in a book, on a map, on a map, on a map, on a map,"
/content/Dataset_simple_sketch/test/bottle opener/2219.png,bottle opener,a line drawing of an ear,the letter e is drawn in a single line,ear,from a tattoo artist,ear piercings ear piercings ear piercings ear piercings ear
/content/Dataset_simple_sketch/test/bottle opener/2215.png,bottle opener,a line drawing of a pair of scissors,a line drawing of a pair of scissors,a tool used to open a door,from a hardware store,"kitchen, bathroom, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware"
/content/Dataset_simple_sketch/test/bottle opener/2166.png,bottle opener,the shape of the item is a spherical shape,the shape of the object is a spherical shape,a syringe or syringe syringe syringe syringe s,it is a syringe or a syringe syringe or a syringe,"kitchen, bathroom, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware"
