Path,Category,Prediction,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/binoculars/1804.png,binoculars,earphones,spherical,the drawing is a single line drawing of a pair of headphones,it is a part of a drawing,it is typically obtained from a pawn shop or pawnbroker,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/binoculars/1840.png,binoculars,a syringe,spherical,the image is a line drawing of a pair of earphones,a part of a device,from a medical device manufacturer,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, kitchen, bathroom, bedroom, living room, bedroom, bathroom,"
/content/Dataset_simple_sketch/test/binoculars/1795.png,binoculars,binoculars,a line drawing of a pair of binoculars in the shape of a pair of binoculars,"a pair of binoculars, a pair of binoculars, a pair of binoculars, a pair",it is a pair of binoculars,it is usually obtained from a pawn shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/binoculars/1818.png,binoculars,teflon teflon teflon teflon teflon,the shape or form of the item is rectangular,the shape of the tube and the shape of the pipe,it is a part of a pipe,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, bedroom, bathroom, bedroom, bathroom,"
/content/Dataset_simple_sketch/test/binoculars/1780.png,binoculars,binoculars,binoculars,the binoculars are shaped like a pair of binoculars,binoculars,binoculars,"a zoo, a museum, a library, a museum, a museum, a library, a museum"
/content/Dataset_simple_sketch/test/binoculars/1789.png,binoculars,twigs,the shape of the item is oblong,"the shape of the two sticks is oblique, and the shape of the sticks is oblique, and the shape of the sticks",it is a piece of wood,in the form of a log,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/binoculars/1811.png,binoculars,binoculars,a pair of binoculars,the binoculars are shaped like a pair of binoculars,binoculars,binoculars,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/binoculars/1801.png,binoculars,goggles,eyeglasses,a pair of goggles is drawn on a white background,eyeglasses,it is a pair of goggles,eyeglasses eyeglasses eyeglasses eyeglasses eyeglasses eyeglasses eyeglasses eyeglass
/content/Dataset_simple_sketch/test/binoculars/1826.png,binoculars,binoculars,binoculars,the shape of the binoculars and the shape of the handle of the binoculars,binoculars,it is typically obtained from a pawn shop,"binoculars, binoculars, binoculars, binoculars, binoculars, binoculars,"
/content/Dataset_simple_sketch/test/binoculars/1813.png,binoculars,binoculars,binoculars,the binoculars are shaped like a pair of binoculars,binoculars,binoculars,"a zoo, a museum, a library, a museum, a museum, a library, a museum"
/content/Dataset_simple_sketch/test/binoculars/1819.png,binoculars,a teddy bear,a line drawing of a man and a woman standing next to each other,there is a person in the middle of the image,it is a person's body,it is typically obtained by a person who is a member of a cult,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/binoculars/1778.png,binoculars,binoculars,pair of binoculars,the image shows a pair of binoculars on a white background,binoculars / binoculars / binoculars / binoculars / binoculars /,from a local auto parts store,"car stereos, stereos, stereos, stereos, stereos, stereos, stereos, stereos, stereos, stereos"
/content/Dataset_simple_sketch/test/binoculars/1785.png,binoculars,binoculars,a pair of binoculars,the shape of the binoculars and the shape of the handle of the binoculars,binoculars,it is a pair of binoculars or a pair of binoculars and a pair of binoculars,"binoculars, binoculars, binoculars, binoculars, binoculars, binoculars,"
/content/Dataset_simple_sketch/test/binoculars/1763.png,binoculars,binoculars,a pair of binoculars,the shape of the binoculars and the shape of the handle of the binoculars,binoculars,"in the form of a pair of binoculars, a pair of binoculars, or a pair of binocular","binoculars, telescopes, binoculars, binoculars, binoculars, binoculars, bino"
/content/Dataset_simple_sketch/test/banana/837.png,banana,a banana,a line drawing of a banana,the shape of the banana,it is a fruit,in the form of a ripe banana,"grocery stores, restaurants, cafeterias, cafeterias, ice cream parlors, ice cream parlours,"
/content/Dataset_simple_sketch/test/banana/855.png,banana,banana,a banana,the shape of the banana,it is a fruit,in the form of a ripe banana,"grocery stores, restaurants, cafeterias, cafeterias, ice cream parlors, ice cream parlours,"
/content/Dataset_simple_sketch/test/banana/848.png,banana,banana,a line drawing of a banana,the shape of the banana,it is a fruit,in the form of a ripe banana,"grocery stores, supermarkets, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, restaurants,"
/content/Dataset_simple_sketch/test/banana/866.png,banana,banana,the shape of the item is a line drawing of a banana,the image is a line drawing of a banana,it is a syringe,in the form of a teddy bear,"in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the"
/content/Dataset_simple_sketch/test/banana/861.png,banana,a teddy bear,a line drawing of a teddy bear,there is a slit in the middle of the sleeve and a slit in the sleeve,it is a line drawing of a teddy bear,it is typically obtained from a taiwanese taiwanese taiwanes,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/banana/817.png,banana,banana,a single line drawing of a banana,the shape of the banana is oblong,it is a fruit,in the form of a ripe banana,"grocery stores, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/banana/834.png,banana,banana,a banana,the shape of the banana,it is a fruit,from a banana tree,"grocery stores, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/banana/871.png,banana,corn,corn on the cob,the shape of the ear of corn,it is a corn cob,corn on the cob,"corn cobs, corn kernels, corn kernels, corn kernels, corn kernels, corn kernels, corn kernels, corn"
/content/Dataset_simple_sketch/test/banana/865.png,banana,a bag,a line drawing of a bag,the image is a line drawing of a bag,a food item,it is typically obtained from a fisherman or a fisherman's trawler,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/banana/851.png,banana,banana,the shape or form of the item is a banana,the shape of the banana's leaves,is it a fruit or a vegetable?,in the form of a ripe banana,"bananas, banana bread, bananas, bananas bread, banana bread, banana bread, banana bread, banana bread, banana bread, banana bread"
/content/Dataset_simple_sketch/test/banana/806.png,banana,banana,the shape or form of the item is a banana,"the shape of the letter c is oblong, and the shape of the letter c is oblong",the letter c,in the form of a ripe banana,"in the kitchen, on a plate, in a bowl, on a plate, on a plate, on a plate, on"
/content/Dataset_simple_sketch/test/banana/810.png,banana,banana,a single line drawing of a banana,the shape of the banana's leaves and the shape of the banana's head,it is a fruit,in the form of a ripe banana,"in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/banana/831.png,banana,banana,a line drawing of a banana on a white background,the banana is shaped like a banana,it is a banana,from a farmer's market,"grocery stores, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/banana/829.png,banana,a sailor's sailor's sailor's sailor's sailor,shape or form of the item,the outline of a sailor's sailor's sailor's sailor's,it is a map of a country,in the form of a twig or twigs,"in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the"
/content/Dataset_simple_sketch/test/banana/857.png,banana,banana,the shape of the item is a banana,the shape of the banana is oblong,it is a fruit,in the form of a ripe banana,"grocery stores, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/banana/869.png,banana,banana,the shape of the item is a banana,"the shape of the banana is oblong, and the shape of the leaf is oblong",it is a fruit,in the form of a ripe banana,"in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/elephant/5998.png,elephant,a teddy bear,a line drawing of an elephant,the elephant has a tusk and a trunk,a character in a story,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,"elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring"
/content/Dataset_simple_sketch/test/elephant/5977.png,elephant,a drawing of an elephant's head,a line drawing of an elephant's head,the tusks of the elephant's trunk,as a character in a story,from a tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5930.png,elephant,adobe illustrator adobe illustrator adobe illustrator adobe illustrator adobe illustrator,a line drawing of an elephant on a white background,the elephant has a tusk and a trunk,a character in a story,"from a zoo, zoo, zoo, zoo, zoo, z","elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring pages, elephant coloring"
/content/Dataset_simple_sketch/test/elephant/5990.png,elephant,teddy bear,a line drawing of an elephant with long tusks,the elephant has long tusks,a character in a story,a credit usd $1,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5927.png,elephant,elephant,a line drawing of an elephant,the elephant's tusks are longer than the rest of his body,a character in a story,"from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5939.png,elephant,teddy bear,a line drawing of an elephant,the elephant is wearing a hat,as a character in a story,from a tattoo artist,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5921.png,elephant,a line drawing of an elephant,a line drawing of an elephant,the elephant has tusks and a trunk,a character in a story,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5997.png,elephant,a coloring page,the shape of the item is elephant,the elephant has a tusk and a trunk,elephant coloring pages - credit usd 20,"from a zoo, zoo, zoo, zoo, zoo, z","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5946.png,elephant,elephant,a line drawing of an elephant with a long tusk,the elephant has a long tusk,a character in a story,from a zoo or zoological park,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/elephant/5978.png,elephant,a teddy bear,a line drawing of an elephant,the elephant has a long tusk,a character in a story,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,"coloring pages, coloring pages for kids, coloring pages for kids, coloring pages for kids, coloring pages for kids, coloring pages for kids, coloring pages"
/content/Dataset_simple_sketch/test/elephant/5976.png,elephant,teddy bear,a line drawing of an elephant with long tusks,the elephant's tusks are longer than the rest of his body,a character in a story,from a tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5945.png,elephant,teddy bear,a line drawing of an elephant,the elephant has a long tusk,as a character in a story,from a zoo or zoological park,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5970.png,elephant,elephant,a line drawing of an elephant,the elephant is wearing a hat,as a character in a story,price 1 credit usd $1,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5972.png,elephant,teddy bear,a line drawing of an elephant,the elephant has a tusk and a trunk,as a character in a story,from a tattoo artist,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5969.png,elephant,a mammoth,a line drawing of a mammoth,the tusks of the mammoth's tusks can be seen,a mammoth,from a mammoth's tusks,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/elephant/5943.png,elephant,a teddy bear,the shape or form of the item is a line drawing of an elephant,the elephant's tusks are longer than the rest of his body,a character in a story,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/stapler/16326.png,stapler,a teddy bear,a single line drawing of a teddy bear in a teddy bear teddy bear teddy,it is a one-line drawing of a person sitting in a chair,it is a teddy bear,it is typically obtained from a store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16375.png,stapler,a car,oblong,the shape of the handlebars and the shape of the handlebars,a part of a vehicle,from a manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16371.png,stapler,stapler,a line drawing of a stapler on a white background,a line drawing of a stapler on a white background,a stapler,from a hardware store,"kitchen drawers, kitchen counters, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawer"
/content/Dataset_simple_sketch/test/stapler/16323.png,stapler,a knife,a line drawing of an object,a single line drawing of a pair of scissors,it is a part of a piece of furniture,it is usually obtained by cutting a piece of wood with a saw or a jigsaw,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16335.png,stapler,a pencil,a line drawing of a pencil,a line drawing of a hand holding a piece of paper on a white background,a ruler,from a hardware store,office supplies
/content/Dataset_simple_sketch/test/stapler/16325.png,stapler,a sledge hammer,a line drawing of a piece of wood on a white background,"the shape of the blade is oblique, and the blade has a rounded tip",a sledgehammer,"in the form of a sledge hammer, a sledge hammer, or a sledge ham","kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16376.png,stapler,stapler,a line drawing of a stapler on a white background,the shape of the stapler's handle,a stapler,from an office supply store,"office supply store, office supply store, office supply store, office supply store, office supply store, office supply store, office supply store, office supply"
/content/Dataset_simple_sketch/test/stapler/16382.png,stapler,a pair of hands,the shape of the item is a line drawing of a hand,the outlines of the arms and legs are drawn in a straight line,it is a drawing of a hand,it is typically obtained from a person's genitals,"kitchen, bathroom, bedroom, living room, dining room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, kitchen, living room,"
/content/Dataset_simple_sketch/test/stapler/16332.png,stapler,sandwich,a single line drawing of a sandwich,it is a single line drawing of a sandwich,a sandwich,from a sandwich shop,"in a sandwich, on a sandwich, in a sandwich, on a sandwich, on a sandwich, on a sandwich,"
/content/Dataset_simple_sketch/test/stapler/16361.png,stapler,swivel swivel swivel swivel swivel swivel,a line drawing of a pair of scissors on a white background,the image is a line drawing of a pair of scissors,a swivel swivel swivel swivel swivel sw,from a hardware store,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16373.png,stapler,a pencil,a line drawing of a pair of scissors on a white background,the shape of the handle and the shape of the handle,it is a piece of luggage,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16336.png,stapler,stapler,a line drawing of a stapler on a white background,the shape of the handle of the stapler and the shape of the handle of the stapler,a stapler,from a hardware store,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16366.png,stapler,stapler,a line drawing of a stapler on a white background,a single line drawing of a stapler on a white background,a stapler,a stapler is a stapler is a stapler is a stapler is a stapler is a stapler is,"staplers, staplers, staplers, staplers, staplers, staplers, staplers, stapler"
/content/Dataset_simple_sketch/test/stapler/16370.png,stapler,a book,the shape of the item is a rectangle,it is a single line drawing of a book,it is a book,from a store,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16389.png,stapler,a sleeve,oblong,the drawing is a single line drawing of a piece of paper,a part of a piece of furniture,from a remanufacturer,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16400.png,stapler,a piece of paper,a line drawing of a pair of scissors,"a pair of scissors, a pair of scissors, and a pair of scissors",part of a drawing,from a local auto parts store,"in a kitchen, in a bathroom, in a bedroom, in a bathroom, in a kitchen, in a bathroom,"
/content/Dataset_simple_sketch/test/owl/11303.png,owl,owl,owl,the owl is wearing a hat,owl,it is usually obtained from a zoo or zoo keeper,"on a t-shirt, on a t-shirt, on a shirt, on a shirt, on a shirt"
/content/Dataset_simple_sketch/test/owl/11309.png,owl,owl,owl,the owl is sitting on a branch,owl,"from a zoo, zoo, zoo, zoo, zoo, z","owls, owls, owls, owls, owls, owls,"
/content/Dataset_simple_sketch/test/owl/11314.png,owl,owl,owl,the owl's eyes are wide open and the owl's head is tilted to the side,owl,it is a drawing of an owl on a white sheet of paper,"tumblr, facebook, twitter, instagram, tumblr, tumblr, tumbl"
/content/Dataset_simple_sketch/test/owl/11322.png,owl,owl,owl,the owl is wearing a hat,as a character in a story,it is usually obtained from a pawn shop or pawn shop,"in a child's coloring book, in a children's storybook, in a children's storybook, in a"
/content/Dataset_simple_sketch/test/owl/11349.png,owl,owl,owl,the owl's eyes are large and the owl's head is tilted,owl,"from a zoo, zoo, zoo, zoo, zoo, z","owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages,"
/content/Dataset_simple_sketch/test/owl/11320.png,owl,owl,owl owl owl owl owl owl owl owl owl owl,the owl is wearing a hat,as a character in a story,it is typically obtained by drawing a picture of an owl on a piece of paper,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/owl/11313.png,owl,owl,owl,the owl is wearing a hat,hoot,from an owl's nest,"t-shirts, hoodies, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/owl/11282.png,owl,owl,owl,the owl is wearing a hat,as a character in a story,it is usually obtained from a zoo or zoo keeper,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/owl/11357.png,owl,owl,owl,the owl is wearing a hat,as a character in a story,it is usually obtained from a tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/owl/11296.png,owl,owl,owl,the owl is wearing a hat,owl,it is a drawing of an owl on a white sheet of paper,"in a book, on a t-shirt, on a mug, on a t-shirt, on a"
/content/Dataset_simple_sketch/test/owl/11289.png,owl,owl,owl,the owl is wearing a hat,owl,"from a zoo, zoo, zoo, zoo, zoo, z","owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages,"
/content/Dataset_simple_sketch/test/owl/11328.png,owl,owl,octopus,the owl is wearing a hat,a character in a video game,in a dungeon,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/owl/11312.png,owl,a bird,the shape of the item is a bird,the bird has a beak and a snout,it is a bird,in the form of a teddy bear,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/owl/11294.png,owl,owl,owl,the owl's eyes are wide open and the owl's head is tilted to the side,owl,"from a zoo, aquarium, or zoo","owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages,"
/content/Dataset_simple_sketch/test/owl/11315.png,owl,owl,owl,the owl has horns and a beak,owl,from a comic book store,"owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages, owl coloring pages,"
/content/Dataset_simple_sketch/test/owl/11285.png,owl,owl,owl,the owl is sitting on a branch,owl perched on a branch,"from a zoo, zoo, zoo, zoo, zoo, z","owls, owls, owls, owls, owls, owls,"
